name,animaltype,breed,colour,sex,suburb,AgeYears
NEKEYTA ,DOG ,HUSKY ,GREY & WHITE ,F,BANNOCKBURN,
CHIEF ,DOG ,HUSKY ,BLACK/WHITE ,M,BANNOCKBURN,
BUNDI ,DOG ,JACK RUSSELL TERRIER ,TAN/WHITE ,M,BANNOCKBURN,
BOSSY ,DOG ,BULL TERRIER ,TRI ,M,BANNOCKBURN,
KINKY ,CAT ,CROSS BREED CAT ,WHITE ,M,BANNOCKBURN,
BART ,DOG ,LABRADOR ,GOLD ,M,BANNOCKBURN,
STUMPY ,DOG ,FOX TERRIER X ,TRI ,M,BANNOCKBURN,
STICKS ,CAT ,CROSS BREED CAT ,GINGER ,M,BANNOCKBURN,
HENRY ,DOG ,GOLDEN RETRIEVER ,GOLD ,M,BANNOCKBURN,
LUCY ,CAT ,DOMESTIC SHORT HAIR ,WHITE/GINGER ,F,BANNOCKBURN,
SKIP ,DOG ,JACK RUSSELL X ,WHITE & TAN ,M,BANNOCKBURN,
SAMUEL ,DOG ,FOX TERRIER ,WHITE & CREAM ,M,BANNOCKBURN,
SOX ,CAT ,DOMESTIC SHORT HAIR ,BLACK & WHITE ,M,BANNOCKBURN,
MAX ,DOG ,KELPIE X ,TAN & WHITE ,M,BANNOCKBURN,
JUAN ,DOG ,POODLE X ,BLACK AND WHITE ,M,BANNOCKBURN,
ROCKY ,DOG ,JACK RUSSELL TERRIER ,TAN AND WHITE ,M,BANNOCKBURN,
SLEAT ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,BANNOCKBURN,
CHEVY ,DOG ,POMERANIAN ,BLACK ,M,GHERINGHAP,
EBONY ,DOG ,POMERANIAN ,BLACK ,F,GHERINGHAP,
MOLLY ,DOG ,KELPIE ,BROWN AND WHITE ,F,GHERINGHAP,
BONNIE ,DOG ,KOOLIE ,BROWN AND WHITE ,F,GHERINGHAP,
OSCAR ,DOG ,POMERANIAN ,TAN ,M,GHERINGHAP,
ALEX FOLEY ,DOG ,AUSTRALIAN TERRIER X ,BLACK & TAN ,M,GHERINGHAP,
LUCY ,CAT ,CAT ,GINGER ,F,GHERINGHAP,
CHARLIE ,CAT ,CAT ,TABBY ,M,GHERINGHAP,
TERRY ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,GHERINGHAP,
TAMMY ,DOG ,BORDER COLLIE ,BLACK & WHITE & TAN ,F,GHERINGHAP,
ANNIE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,GHERINGHAP,
MILLIE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,GHERINGHAP,
BLACK CAT ,CAT ,MOGGIE ,BLACK ,M,GHERINGHAP,
FLIK ,DOG ,BOXER ,TAN AND WHITE ,F,BANNOCKBURN,
REMY ,DOG ,LABRADOR X ,BROWN ,F,BANNOCKBURN,
MILO ,DOG ,KELPIE ,CHOCOLATE ,M,BANNOCKBURN,
CLANCY ,DOG ,KELPIE ,BLACK ,F,BANNOCKBURN,
BUNDY ,DOG ,MALT./SHIH TZU X ,WHITE ,M,BANNOCKBURN,
PATCH ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,BANNOCKBURN,
PEBBLES ,CAT ,DOMESTIC LONG HAIR ,GREY/TORTI/WHITE ,F,BANNOCKBURN,
ALBA ,DOG ,JACK RUSSELL TERRIER ,WHITE & TAN ,F,BANNOCKBURN,
HENDRIX ,DOG ,JACK RUSSELL TERRIER ,TAN AND WHITE ,M,BANNOCKBURN,
TRUFFLES ,CAT ,DOMESTIC SHORT HAIR ,TABBY ,F,BANNOCKBURN,
HOPE ,DOG ,JACK RUSSELL TERRIER ,TAN AND WHITE ,F,BANNOCKBURN,
PUGSLEY ,DOG ,FOX TERRIER ,TRI ,F,BANNOCKBURN,
PEPPER ,DOG ,BRITTANY SPANIEL ,BLACK AND WHITE ,F,BANNOCKBURN,
WINFRED ,DOG ,WHIPPET ,GRAY-FAWN & BRINDLE ,F,BANNOCKBURN,
CLARK ,DOG ,CAVALIER KING CHARLES SPANIEL ,TAN AND WHITE ,M,BANNOCKBURN,
SOPHIE ,DOG ,DACHSHUND ,TAN/WHITE ,F,BANNOCKBURN,
HARVEY ,DOG ,DACHSHUND ,TAN ,M,BANNOCKBURN,
RALPH ,CAT ,PERSIAN ,BLACK/BRINDLE ,F,BANNOCKBURN,
BUTCH ,DOG ,BLUE HEELER ,BLUE ,M,BANNOCKBURN,
SALLY ,DOG ,WHIPPET ,BLACK ,F,BANNOCKBURN,
BONNIE ,DOG ,LABRADOR ,BLACK ,F,BANNOCKBURN,
ROWDY ,DOG ,LABRADOR ,BLACK ,M,BANNOCKBURN,
JESSIE ,DOG ,LABRADOR ,GOLD ,F,BANNOCKBURN,
OREO ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,F,BANNOCKBURN,
PIPER ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,BANNOCKBURN,
PEARL ,CAT ,DOMESTIC SHORT HAIR ,GREY/WHITE ,F,BANNOCKBURN,
ZOE ,DOG ,BORDER COLLIE ,"WHITE,BLACK,TAN ",F,BANNOCKBURN,
SKYE ,DOG ,BORDER COLLIE ,"BLACK,WHITE & TAN ",F,BANNOCKBURN,
BELLA ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,F,BANNOCKBURN,
BAXTER ,DOG ,JACK RUSSELL TERRIER ,TAN/WHITE ,M,BANNOCKBURN,
ROXY ,DOG ,JACK RUSSELL TERRIER ,WHITE/TAN ,F,BANNOCKBURN,
OAKLEY ,DOG ,JACK RUSSELL TERRIER ,TAN & WHITE ,F,BANNOCKBURN,
BUZZ ,DOG ,MINIATURE FOX TERRIER ,TRI COLOUR ,M,BANNOCKBURN,
RALPH ,DOG ,GREYHOUND ,FAWN BRINDLE ,M,BANNOCKBURN,
SHARNY ,DOG ,SHIH TZU ,WHITE ,M,BANNOCKBURN,
CJ ,DOG ,ALASKAN MALAMUTE ,BLACK/WHITE ,M,BANNOCKBURN,
CONAN ,DOG ,ALASKAN MALAMUTE ,BLACK/WHITE ,M,BANNOCKBURN,
MISTY ,DOG ,LABRADOR ,GOLDEN ,F,BANNOCKBURN,
JAZZ ,CAT ,TABBY ,GREY/WHITE ,F,BANNOCKBURN,
RALPH ,DOG ,JACK RUSSELL TERRIER ,BLACK & WHITE ,M,BANNOCKBURN,
ZARRA ,DOG ,GERMAN SHEPHERD ,BLACK & SABLE ,F,BANNOCKBURN,
HENRY ,DOG ,GOLDEN RETRIEVER ,GOLDEN ,M,BANNOCKBURN,
KENNY ,DOG ,MALTESE TERRIER X ,TAN ,M,BANNOCKBURN,
PEPPER ,DOG ,KELPIE ,BROWN AND TAN ,F,BANNOCKBURN,
CLEO ,DOG ,AUSTRALIAN SILKY TERRIER ,BLACK AND TAN ,F,BANNOCKBURN,
BISKIT ,DOG ,JACK RUSSELL TERRIER ,BLACKTAN AND WHITE ,M,BANNOCKBURN,
OLLIE ,DOG ,GOLDEN RETRIEVER ,GOLD ,M,BANNOCKBURN,
BELLE ,DOG ,GOLDEN RETRIEVER ,GOLD ,F,BANNOCKBURN,
DUCHESS ,DOG ,WEIMARANER ,GREY ,F,BANNOCKBURN,
TUSHIE ,CAT ,DOMESTIC SHORT HAIR ,"BLACK, TAN AND WHITE ",F,BANNOCKBURN,
JAKE ,DOG ,JACK RUSSELL X ,WHITE/BROWN ,M,BANNOCKBURN,
HARLEY ,DOG ,STAFFORDSHIRE BULL TERRIER ,TAN/WHITE ,M,BANNOCKBURN,
PEACHES ,DOG ,MALT./SHIH TZU X ,WHITE ,F,BANNOCKBURN,
TOMMY ,DOG ,MALT./SHIH TZU X ,"BLACK, GREY & BROWN ",M,BANNOCKBURN,
MAGGIE ,CAT ,DOMESTIC SHORT HAIR ,WHITE/TABBY ,F,BANNOCKBURN,
SAMMY ,CAT ,DOMESTIC SHORT HAIR ,CHAMPAGNE ,F,BANNOCKBURN,
CHARLIE ,CAT ,TABBY ,MIXED ,M,BANNOCKBURN,
TYSON ,DOG ,DOBERMAN ,BLACK AND TAN ,M,BANNOCKBURN,
THOMAS ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,M,BANNOCKBURN,
COCO ,CAT ,DOMESTIC SHORT HAIR ,TORTOISESHELL ,F,BANNOCKBURN,
KIMBA ,CAT ,BIRMAN ,BLUE POINT ,F,BANNOCKBURN,
TAVISH ,DOG ,SCOTTISH TERRIER ,BLACK ,F,BANNOCKBURN,
CHLOE ,DOG ,TIBETAN SPANIEL ,CARAMEL/GOLD ,F,BANNOCKBURN,
SHAYE ,DOG ,BORDER COLLIE ,BLACK & WHITE ,F,BANNOCKBURN,
ARCHIE ,DOG ,MALT./SHIH TZU X ,WHITE WITH CREAM EARS ,M,BANNOCKBURN,
DOLLY ,DOG ,AUSTRALIAN SILKY TERRIER ,BLACK/GREY ,F,BANNOCKBURN,
RILEY ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,F,BANNOCKBURN,
LILLY ,CAT ,DOMESTIC SHORT HAIR ,TORTOISE SHELL ,F,BANNOCKBURN,
CONNIE ,DOG ,CURLY COATED RETRIEVER ,BROWN ,F,BANNOCKBURN,
BENNY ,DOG ,SCHNOODLE ,GREY AND BLACK ,M,BANNOCKBURN,
TOBY ,DOG ,HEELER ,BLUE ,M,BANNOCKBURN,
ROXY ,DOG ,GERMAN SHORTHAIRED POINTER ,BROWN ,F,BANNOCKBURN,
DUSTY ,DOG ,KELPIE X ,BROWN ,F,BANNOCKBURN,
BINDI ,DOG ,KELPIE X ,BLACK ,F,BANNOCKBURN,
KIRRA ,DOG ,GERMAN SHEPHERD ,TAN/BROWN ,F,BANNOCKBURN,
MACEE ,DOG ,DOGUE DE BORDEAUX X NEAPOLITAN,TAN ,F,BANNOCKBURN,
REX ,DOG ,JACK RUSSELL TERRIER ,TRI COLOUR ,M,BANNOCKBURN,
POLLY ,DOG ,BEAGLE ,TRY ,F,BANNOCKBURN,
LILLY ,DOG ,BEAGLE ,TRY ,F,BANNOCKBURN,
RUBY ,DOG ,POMERANIAN ,BLACK/TAN ,F,BANNOCKBURN,
ROSIE ,DOG ,POMERANIAN ,WHITE ,F,BANNOCKBURN,
MYLO ,DOG ,BORDER COLLIE ,BLACK & WHITE ,M,BANNOCKBURN,
MOSS ,DOG ,BORDER COLLIE ,BLACK/WHITE ,M,BANNOCKBURN,
KIRBY ,DOG ,KELPIE X ,BRINDLE ,M,BANNOCKBURN,
BESS ,DOG ,LABRADOR X ,BLACK ,F,BANNOCKBURN,
TOBY ,DOG ,LABRADOR X ,WHITE ,M,BANNOCKBURN,
REBEL ,CAT ,CAT ,GREY ,M,BANNOCKBURN,
LURE ,DOG ,GERMAN SHORTHAIRED POINTER ,BROWN ,F,BANNOCKBURN,
KAYLA ,DOG ,LABRADOR ,WHITE ,F,BANNOCKBURN,
LUCY ,DOG ,KELPIE X ,BLACK/TAN ,F,BANNOCKBURN,
LILLY ,DOG ,MALT./SHIH TZU X ,TRI COLOUR ,F,BANNOCKBURN,
CARA ,DOG ,POODLE ,GOLD ,F,BANNOCKBURN,
MILO ,CAT ,DOMESTIC SHORT HAIR ,GINGER ,M,BANNOCKBURN,
SALLY ,DOG ,LABRADOR X ,BLACK ,F,BANNOCKBURN,
LOCH ,DOG ,BORDER COLLIE ,BLACK AND WHITE ,M,BANNOCKBURN,
BILLY ,CAT ,DOMESTIC LONG HAIR ,GINGER ,M,BANNOCKBURN,
KITA ,DOG ,BOXER ,TAN ,M,BANNOCKBURN,
TAYAH ,DOG ,BOXER ,BRINDLE/WHITE ,F,BANNOCKBURN,
ELI ,DOG ,DACHSHUND ,BLACK AND TAN ,F,BANNOCKBURN,
ARCHIE ,DOG ,JACK RUSSELL TERRIER ,WHITE ,M,BANNOCKBURN,
ROXY ,DOG ,AIREDALE TERRIER ,BLACK & TAN ,F,BANNOCKBURN,
BONNIE ,DOG ,JACK RUSSELL TERRIER ,TRI COLOR ,F,BANNOCKBURN,
BOB ,DOG ,MALTESE ,BLACK/WHITE ,M,BANNOCKBURN,
JAZZ ,DOG ,GERMAN SPITZ ,CREAM ,F,BANNOCKBURN,
WILLOW ,DOG ,BOXER ,BRINDLE ,F,BANNOCKBURN,
DUSTY ,DOG ,BLUE HEELER ,BLUE ,F,BANNOCKBURN,
SHAHBEAU ,CAT ,SCOTTISH FOLD ,CAMEO ,M,BANNOCKBURN,
MEG ,DOG ,STAFFORDSHIRE BULL TERRIER ,BRINDLE AND WHITE ,F,BANNOCKBURN,
