name,animaltype,breed,colour,sex,suburb,AgeYears,blank
Bess,D         ,POODLEMIN ,Black     ,F,MOUNT COOLUM,21,
Chloe,D         ,POODLETOY ,Black     ,F,MAROOCHYDORE,20, 
Ambour,D         ,POODLESTDX,Black     ,F,BUDERIM,20,
Lucy Lu,D         ,LHASAAPSO ,BlackWhite,F,MAROOCHYDORE,19,
Chloe,D         ,SPOODLE   ,Gold      ,F,BUDERIM,18,
Tinnie,D         ,RIDGEBACKX,Tan       ,F,MOUNT COOLUM,18,
Lolly,D         ,POODLE    ,Champagne ,F,MUDJIMBA,17,
Benji,D         ,LABRADOR  ,Black     ,M,BUDERIM,17,
Xena,D         ,POODLETOYX,Cream     ,F,ALEXANDRA HEADLAND,17,
Misty,D         ,RETRIEVERX,GoldWhite ,F,BLI BLI,17,
Charlie,D         ,SPANIELTBX,Caramel   ,M,BUDERIM,18,
Ruby-Blu,D         ,BEAGLE    ,Brown     ,F,BUDERIM,16,
April,D         ,POODLEX   ,BlackTan  ,F,BUDERIM,17,
Tilly,D         ,FOXTERRMN ,BlackWhite,F,NAMBOUR,16,
Rajah,D         ,LABRADOODL,Gold      ,M,DOONAN,16,
Jack,D         ,FOXTERRMN ,TriColour ,M,MINYAMA,16,
Tully,D         ,TERRIERWT ,White     ,M,ALEXANDRA HEADLAND,16,
Scruffy,D         ,SPOODLE   ,Apricot   ,M,BLI BLI,16,
Bundy,D         ,TERRIERSIX,SaltPepper,M,MERIDAN PLAINS,17,
Monty,D         ,TERRIERWT ,White     ,M,MOUNTAIN CREEK,16,
Leia,D         ,SHIHTZU   ,Black     ,F,BLI BLI,16,
Scoobie,D         ,JACKRUSSLX,WhiteTan  ,M,ALEXANDRA HEADLAND,16,
Tasha,D         ,DACHSHUNDM,BlackTanSi,F,PALMWOODS,16,
Shadow,D         ,SPANIELCK ,Black     ,M,PEREGIAN SPRINGS,16,
Mini,D         ,CHIHUAHLH ,BlackTan  ,F,NAMBOUR,16,
Chilli,D         ,STAFFRDBT ,Blue      ,F,MINYAMA,16,
Sophie,D         ,SPOODLE   ,Black     ,F,MOUNT COOLUM,16,
Sophie,D         ,POODLETOYX,White     ,F,TWIN WATERS,16,
Bella,D         ,POODLETOY ,Apricot   ,F,BLI BLI,16,
Kelly,D         ,JACKRUSSL ,TanWhite  ,F,KIELS MOUNTAIN,16,
Missy,D         ,FOXTERRIEX,Black     ,F,NAMBOUR,16,
Bachi,D         ,LHASAAPSO ,Champagne ,M,DOONAN,17,
Pepsi,D         ,DALMATIAN ,BlackWhite,F,DOONAN,16,
Mr Cuddles,D         ,MALTESEX  ,White     ,M,MAROOCHYDORE,16,
Blake,D         ,FOXTERRTYX,Blue      ,M,PACIFIC PARADISE,15,
Fudge,D         ,JACKRUSSL ,TriColour ,M,DOONAN,16,
Gus,D         ,POODLEMINX,Tan       ,M,BUDERIM,16,
Patch,D         ,SHIHTZU   ,WhiteTan  ,F,SIPPY DOWNS,16,
Wilfred,D         ,JACKRUSSLX,Black     ,M,BEERWAH,15,
Flossy,D         ,KELPIEAUSX,BlackBrown,F,FOREST GLEN,16,
Duff,D         ,MALTESEX  ,White     ,M,MARCOOLA,18,
Ollie,D         ,BICHONFRSX,White     ,M,TWIN WATERS,16,
Sophie,D         ,MALTESE   ,White     ,F,ILKLEY,15,
Milly,D         ,POODLEMIN ,Black     ,F,MOOLOOLABA,15,
tux,D         ,JACKRUSSL ,White     ,M,MAROOCHY RIVER,16,
Lilly,D         ,LHASAAPSOX,White     ,F,NAMBOUR,17,
Molly,D         ,CHIHUAHUAX,Black     ,F,MAROOCHYDORE,15,
Buddha,D         ,JACKRUSSL ,WhiteBrown,M,KENILWORTH,15,
Spud,D         ,JACKRUSSLX,TanWhite  ,M,EUDLO,16,
Jessie,D         ,COLLBORDRX,BrownWhite,F,PEREGIAN BEACH,15,
Miffy,D         ,JACKRUSSL ,TriColour ,F,PALMWOODS,15,
Ruby,D         ,RIDGEBACKX,Tan       ,F,COOLUM BEACH,15,
Roxy,D         ,DACHSHSHM ,Red       ,F,NAMBOUR,22,
Buddy,D         ,MALTESE   ,White     ,M,BUDERIM,15,
JJ,D         ,SPANIELCVX,Apricot   ,M,MAROOCHYDORE,14,
Baxter,D         ,STAFFRDBT ,Brindle   ,M,ALEXANDRA HEADLAND,16,
Tucker,D         ,TERRIERTN ,TriColour ,M,BURNSIDE,16,
Louis,D         ,FOXTERRMN ,BlackTanWh,M,BUDERIM,15,
George,D         ,TERRIERSF ,Blue      ,M,TOWEN MOUNTAIN,16,
Magoo,D         ,SHIHTZU   ,Sable     ,M,SIPPY DOWNS,15,
Mysti,D         ,STAFFRDBTX,White     ,F,COOLUM BEACH,15,
Milo,D         ,SHIHTZUX  ,Cream     ,M,BLI BLI,16,
Charley,D         ,TERRIERSI ,TanBlack  ,F,PACIFIC PARADISE,15,
Ruby,D         ,STAFFRDBT ,Brindle   ,F,FOREST GLEN,14,
Sari,Cat       ,BIRMAN    ,WhiteGrey ,F,BIRTINYA,15,
Nougat,Cat       ,BURMESE   ,Unknown   ,M,COOLUM BEACH,20,
Lilly,Cat       ,DOMSH     ,Black     ,F,BUDERIM,17,
Bella,Cat       ,DOMSH     ,Unknown   ,F,BUDERIM,16,
Misty,Cat       ,DOMSH     ,Grey      ,F,BUDERIM,16,
Leo,D         ,SHIHTZUX  ,White     ,M,MOOLOOLABA,15,
Minty,D         ,MALTESE   ,White     ,F,,20,
Mende,Cat       ,DOMSH     ,Black     ,F,NAMBOUR,15,
Pudda,Cat       ,PERSIAN   ,Ginger    ,M,MAROOCHYDORE,18,
Buzz,D         ,JACKRUSSLX,Black     ,M,PALMWOODS,15,
Bentley,Cat       ,DOMSH     ,Grey      ,M,DIDDILLIBAH,15,
Reggie,D         ,KELPIEAUS ,Red       ,M,WEYBA DOWNS,18,
Buddy,D         ,POODLEMIN ,BlackGrey ,M,ROSEMOUNT,21,
Poppy,D         ,MALTESE   ,White     ,F,BUDERIM,20,
Choccy,D         ,STAFFRDBT ,BlackGold ,F,MARCOOLA,20,
Anak,D         ,POODLEMIN ,Black     ,M,BUDERIM,19,
